"id","title","issuing_body","sector","document_type","status","release_date","summary","who_it_applies_to","key_obligations","official_url","archived_pdf","last_verified"
"13","Draft Guidance Document on Medical Device Software","Central Drugs Standard Control Organisation (CDSCO)","Health","Guidelines","Draft","2025-10-21","Draft CDSCO guidance, opened for public comment, on how Medical Device Software - including AI and ML based diagnostic and clinical decision support tools - is regulated under the Medical Devices Rules 2017. It distinguishes Software in a Medical Device (SiMD) from standalone Software as a Medical Device (SaMD), and applies a four-class risk matrix (A to D) combining the significance of the clinical information provided with the seriousness of the healthcare situation. Once finalised, this will be the de facto licensing rulebook for health-AI products in India.","Indian manufacturers and importers of medical device software, including developers of AI/ML diagnostic and therapeutic software and clinical decision support applications, under MDR 2017.","Draft stage - proposed obligations: classify software under the prescribed risk matrix; obtain manufacturing or import licences from the appropriate licensing authority; provide clinical evidence of safety and performance; implement an ISO 13485 compliant quality management system; conduct post-market surveillance and report adverse events.","https://cdsco.gov.in/opencms/resources/UploadCDSCOWeb/2018/UploadPublic_NoticesFiles/Draft%20guidance%20document%20on%20Medical%20Device%20Software%2021%2010%202025.pdf","","2026-06-11"
"15","Reimagining Agriculture: A Roadmap for Frontier Technology Led Transformation","NITI Aayog (Frontier Tech Hub)","Agriculture","Report","Final","2025-10-01","Strategic roadmap from NITI Aayog's Frontier Tech Hub (with CII, BCG, Google and EkStep Foundation) for technology-led transformation of Indian agriculture toward Viksit Bharat 2047. It segments farmers into three archetypes, diagnoses six systemic roadblocks - siloed data, trust deficits, the phygital divide, ecosystem fragmentation, and talent and capital gaps - and proposes a Digital Agriculture Mission 2.0 spanning a sovereign agri-data ecosystem (AgriKosh), AI-powered last-mile advisory via VISTAAR, mission-oriented R&D, and frontier-tech Centres of Excellence.","Non-binding roadmap for agriculture and IT ministries, state agriculture departments, agritech startups and companies, research institutions, and farmer producer organisations.","None - advisory. Recommends an inter-ministerial committee for the AgriKosh data ecosystem; mapping and tracking of agritech accelerators; time-bound task forces on R&D and agri-talent; an NSQF-aligned agri-talent framework; integrating AI advisory channels with DPI such as AgriStack and VISTAAR.","https://niti.gov.in/sites/default/files/2025-10/Reimagining_Agriculture_Roadmap_for_Frontier_Technology_Led_Transformation.pdf","","2026-06-11"
"17","Master Direction on Information Technology Governance, Risk, Controls and Assurance Practices","Reserve Bank of India (RBI)","Finance","Guidelines","Final","2023-11-07","Binding RBI Master Direction on IT governance and risk for regulated financial entities, in force from April 2024. While not an AI-specific instrument, it is currently the closest thing to enforceable AI rules in Indian banking: it brings AI and ML models within IT and model risk governance, requiring board-level oversight, model inventories, periodic audits, and explainability for AI used in areas such as credit underwriting and fraud scoring.","Binding on scheduled commercial banks, NBFCs above thresholds, and other RBI-regulated entities using technology - including AI and ML - in operations or customer-facing decisions.","Board-level IT strategy committee oversight; maintain an AI/ML model inventory with risk classification; conduct periodic model audits; implement explainability for AI-driven credit decisions; report AI-related incidents to RBI.","https://rbi.org.in/Scripts/BS_ViewMasDirections.aspx?id=12562","","2026-06-11"
"18","National Education Policy 2020","Ministry of Education (MoE)","Education","Policy","Final","2020-07-29","India's national education reform blueprint, with AI woven through its skilling and curriculum agenda: coding and computational thinking from Grade 6, AI integrated into school and higher-education curricula, AI-enabled personalised learning, and teacher upskilling in technology pedagogy. Not a regulation, but it drives the education-side pipeline that most AI skilling programmes - including IndiaAI FutureSkills - build on.","Schools, universities, state education departments, teacher training institutions, and education technology companies.","Policy direction rather than obligations: introduce coding and AI literacy from middle school; restructure higher-education curricula for multidisciplinary learning; train teachers in technology and AI pedagogy; link vocational AI skilling to national credentials.","https://www.education.gov.in/sites/upload_files/mhrd/files/NEP_Final_English_0.pdf","","2026-06-11"
"21","CERT-In Advisory on Best Practices for Generative AI Security (CIAD-2025-0013)","Indian Computer Emergency Response Team (CERT-In)","Cross-cutting","Advisory","Final","2025-03-26","CERT-In security advisory cataloguing the main attack vectors against generative AI systems - data poisoning, adversarial inputs, model inversion and model stealing, prompt injection, hallucination exploitation, and backdoor attacks - and recommending defensive practices for organisations and individual users. Advisory in nature, but CERT-In guidance feeds into the mandatory cyber incident reporting ecosystem under the IT Act, making this a practical security baseline for GenAI deployment in India.","All organisations and individuals deploying or using generative AI tools, and AI application developers.","Advisory best practices: configure and periodically review GenAI access rights to organisational data; fact-check AI outputs and avoid sole reliance on AI for critical decisions; use strong authentication for AI service accounts; stay alert to AI-generated phishing and deepfakes.","https://www.cert-in.org.in/s2cMainServlet?pageid=PUBVLNOTES02&VLCODE=CIAD-2025-0013","","2026-06-11"
"22","Maharashtra Artificial Intelligence Policy 2026","Government of Maharashtra","Cross-cutting","Policy","Final","2026-04-29","Maharashtra's first dedicated state AI policy, approved by the state cabinet on 29 April 2026 after development by a 16-member taskforce constituted in January 2025. It targets over Rs 10,000 crore of investment and 1.5 lakh jobs, and commits to six AI Centres of Excellence, five AI Innovation Cities, 12 AI incubators, a Rs 500 crore AI venture fund, 2,000 GPUs of state compute capacity, financial support for 5,000 MSMEs to adopt AI, and a Maharashtra AI Mission aligned with the national IndiaAI Mission. The full policy document and government resolution are awaited; this entry reflects the cabinet announcement.","State government departments, AI companies and startups, MSMEs, and educational institutions in Maharashtra.","Programmatic commitments by the state government; incentive eligibility and participation details to follow publication of the policy document and operational guidelines.","","","2026-06-11"
"23","Telangana Artificial Intelligence Framework 2020","Government of Telangana (ITE&C Department)","Cross-cutting","Framework","Final","2020-06-01","Telangana's AI strategy framework, launched when the state declared 2020 its Year of AI, aiming to make Telangana a global AI hub. Built on six pillars - data exchange and high-performance computing, skilling, governance and ethics, research, adoption, and an AI-Innovestment social-good fund - and executed through T-AIM (Telangana AI Mission) in partnership with NASSCOM. Notably one of the few state policies with concrete data-ethics requirements: companies using government datasets must file compliance reports and complete mandatory data ethics training.","Telangana state departments, AI companies and startups, research institutions, and any entity accessing state government datasets.","Companies accessing government datasets must submit compliance reports on ethical data use; employees of IT companies using government data must complete a mandatory data ethics course; government AI procurement must follow AI Ethics Group guidelines including explainability; government staff operating AI must be trained on its capabilities and limits; data providers on the open data platform must obtain certification.","https://startup.telangana.gov.in/wp-content/uploads/2021/04/AI-framework.pdf","","2026-06-11"
"24","Karnataka Artificial Intelligence Strategy","Government of Karnataka","Cross-cutting","Strategy","Forthcoming","2024-01-01","Karnataka has signalled a standalone AI strategy to formalise Bengaluru's position as a global AI hub, building on AI references across its IT Policy 2020-25, Startup Policy 2022-27 and the Karnataka Digital Economy Mission. No dedicated AI policy document has been released yet; this entry tracks the announcement.","State departments, IT companies, startups, global capability centres, and research institutions in Karnataka - once released.","Details pending finalisation.","","","2026-06-11"
"25","Tamil Nadu Safe and Ethical Artificial Intelligence Policy 2020","Government of Tamil Nadu (Information Technology Department)","Cross-cutting","Policy","Final","2020-09-19","The most operationally specific state AI policy in India: Tamil Nadu mandates an ethical evaluation gate for every AI system the state government procures or deploys. Its TAM-DEF framework and DEEP-MAX scorecard rate systems across transparency, fairness, privacy, misuse protection and related dimensions before public rollout, with scores to be recorded on a tamper-proof blockchain (ACTS) and refreshed every six months. Oversight sits with a committee chaired by the Chief Secretary, with TNeGA's emerging-technologies centre (CEET) as technical adviser.","All Tamil Nadu government bodies, public sector undertakings, boards, cooperatives, and government-controlled or government-aided entities procuring or deploying AI.","Consult CEET at TNeGA before any AI procurement; evaluate all AI systems on the DEEP-MAX scorecard before deployment and meet acceptability thresholds; record scores on the ACTS blockchain (or interim mechanism) and refresh at least every six months; accept the government's right to recall AI applications that fall below thresholds.","https://it.tn.gov.in/sites/default/files/2021-06/TN_Safe_Ethical_AI_policy_2020.pdf","","2026-06-11"
"28","AI in Indian Defence: A Compendium of AI-Based Products and Technologies","Department of Defence Production, Ministry of Defence","Defence","Government Compendium","Final","2022-07-01","A showcase compendium from the Department of Defence Production cataloguing AI products and technologies developed across India's defence ecosystem - DRDO, defence PSUs, private companies and startups. It spans autonomous systems, swarm drones, cognitive radar, maritime anomaly detection, surveillance and facial recognition, cybersecurity, logistics, and lethal autonomous weapon systems. Not a policy instrument, but the most complete public picture of where Indian defence AI capability stands.","Reference document for defence industry, armed forces, DRDO, and policymakers involved in defence AI procurement and capability development.","None - informational compendium. Featured products remain subject to defence procurement procedures, export controls, and technology transfer agreements.","https://www.ddpmod.gov.in/sites/default/files/2023-11/ai.pdf","","2026-06-11"
"32","National Digital Health Mission: Health Data Management Policy","Ministry of Health and Family Welfare (MoHFW) / NDHM","Health|Data Governance","Policy","Final","2020-08-01","The data governance backbone of India's digital health ecosystem (now ABDM), establishing privacy-by-design rules for personal health data - the raw material of health AI. It defines roles across the federated ecosystem (health information providers and users, consent managers, processors), creates the Health ID and the professional and facility registries, and sets a granular consent framework with rights to access, correct, erase and port health data. It also prohibits denial of health services for refusing to create a Health ID.","All entities in the National Digital Health Ecosystem: hospitals, diagnostic centres, insurers, health-tech and pharmaceutical companies, researchers, and consent managers handling personal health data.","Process health data only with free, informed, specific and revocable consent; implement privacy by design and publish the policy; apply security practices including encryption and de-identification; conduct impact assessments before high-risk processing; maintain audit trails; appoint a DPO and grievance officer with one-month response times; report breaches to NDHM; anonymise data before secondary use.","https://abdm.gov.in/publications","","2026-06-11"
"33","Enabling Framework for Regulatory Sandbox","Reserve Bank of India (RBI)","Finance","Framework","Final","2019-08-13","RBI's framework allowing fintech innovations - including AI-driven credit scoring, lending and payments products - to be live-tested with real customers under relaxed regulatory norms within a supervised boundary. First issued in August 2019 and updated most recently on 28 February 2024, when cohorts became theme-neutral, testing windows were extended to nine months, and compliance with the DPDP Act 2023 was made a condition of participation. Several AI-in-finance proofs of concept have come through its cohorts.","Fintech companies, banks partnering with fintechs, and AI-based lending, insurance and payments platforms seeking to test products before full regulatory compliance.","Apply to an RBI sandbox cohort with product details and risk assessment; operate strictly within the approved testing boundary; test only with consenting customers; comply with the DPDP Act 2023; submit an outcome report to RBI at the end of the cohort.","https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57406","","2026-06-11"
"34","Consultation Paper on Guidelines for Responsible Usage of AI/ML in Indian Securities Markets","Securities and Exchange Board of India (SEBI)","Finance","Consultation Paper","Draft","2025-06-20","SEBI consultation paper proposing India's first dedicated guidelines for responsible AI and ML use across securities markets, building on its existing AI reporting requirements and IOSCO's framework. It proposes five core principles - model governance, investor protection and disclosure, testing frameworks, fairness and bias controls, and data privacy and cybersecurity - with a lighter regime for internal, non-customer-facing AI. Comments closed in July 2025; read alongside the February 2025 Intermediaries Amendment, which already makes regulated entities legally responsible for their AI tools.","All SEBI-regulated participants using AI/ML: exchanges, clearing corporations, depositories, brokers, mutual funds, portfolio managers, investment advisers, and their AI vendors.","Proposed (consultation stage): skilled internal model-oversight teams with senior management accountability; pre-deployment and shadow testing in segregated environments; continuous monitoring with results shared with SEBI; independent audits; customer disclosure of AI use, risks and accuracy; bias identification and removal; data governance and breach reporting.","https://www.sebi.gov.in/reports-and-statistics/reports/jun-2025/consultation-paper-on-guidelines-for-responsible-usage-of-ai-ml-in-indian-securities-markets_94687.html","","2026-06-11"
"35","India AI Governance Guidelines","Ministry of Electronics and Information Technology (MeitY)","Cross-cutting","Guidelines","Final","2025-11-05","India's first comprehensive national framework for AI governance, prepared by a MeitY-constituted expert committee and released in November 2025. Rather than proposing a new AI law, it adopts a light-touch, principle-based approach anchored in seven guiding sutras - including Trust is the Foundation, People First, and Innovation over Restraint - and takes the position that existing laws (IT Act, DPDP Act, consumer protection, copyright) already address most AI harms. Its key structural move is institutional: it recommends an AI Governance Group for inter-ministerial coordination, a Technology and Policy Expert Committee, an AI Safety Institute, and an AI incident database.","Non-binding guidance, not law. Directly relevant to anyone developing or deploying AI systems in India, to sectoral regulators (RBI, SEBI, ICMR and others) designing domain-specific rules, and to ministries. Creates no enforceable obligations, but signals the direction of future Indian AI regulation.","Voluntary. Industry actors are guided to comply with all applicable Indian laws and demonstrate compliance when called upon by regulators; establish accessible, multilingual grievance-redressal mechanisms; and maintain transparency across the AI value chain. Regulators are guided toward proportionate, flexible, periodically reviewed frameworks rather than command-and-control rules.","https://static.pib.gov.in/WriteReadData/specificdocs/documents/2025/nov/doc2025115685601.pdf","","2026-06-11"
"36","National AI Strategy for Skilling and Workforce Development","Ministry of Skill Development and Entrepreneurship (MSDE)","Education|Cross-cutting","Strategy","Forthcoming","2024-01-01","A forthcoming national strategy to prepare India's workforce for an AI-driven economy through sector skill councils and the integration of AI and ML modules into ITI and polytechnic curricula. Expected to define national AI occupational standards, create a registry of certified AI trainers, and link skilling outcomes to AI industry employment. No document has been published yet; this entry tracks the announcement.","Sector skill councils, training partners, employers in AI-intensive industries, and ITI and polytechnic institutions - once released.","Details pending publication.","","","2026-06-11"
"37","Information Technology (Intermediary Guidelines and Digital Media Ethics Code) Rules, 2021 (as amended to 6 April 2023)","Ministry of Electronics and Information Technology (MeitY)","Cross-cutting|Data Governance","Legislation","Superseded","2021-02-25","The core subordinate legislation under the IT Act governing intermediaries and digital media in India - the legal scaffolding on which all of MeitY's AI and deepfake obligations hang. It sets due diligence duties for all intermediaries (prohibited content categories, grievance timelines, takedown and preservation duties), heavier obligations for Significant Social Media Intermediaries (India-resident compliance officers, traceability, proactive CSAM detection), an online gaming framework, and a three-tier ethics code for digital news and OTT platforms. This entry covers the consolidated text as amended to April 2023; the February 2026 amendment adding the synthetic media framework is tracked as a separate entry.","All intermediaries operating in India, Significant Social Media Intermediaries above notified thresholds, online gaming intermediaries, and publishers of news and OTT content.","Publish rules and privacy policy in Indian languages; prevent listed categories of unlawful content; acknowledge grievances within 24 hours and resolve within 15 days; preserve removed content for 180 days; respond to government requests within 72 hours; SSMIs must appoint India-resident compliance officers, publish monthly compliance reports, and enable originator traceability on lawful orders.","https://www.meity.gov.in/static/uploads/2024/02/Information-Technology-Intermediary-Guidelines-and-Digital-Media-Ethics-Code-Rules-2021-updated-06.04.2023-.pdf","","2026-06-11"
"39","Strengthening AI Governance Through Techno-Legal Framework","Office of the Principal Scientific Adviser to the Government of India","Cross-cutting","White Paper","Final","2026-01-01","White paper from the Office of the Principal Scientific Adviser arguing that India's AI governance should be techno-legal: embedding compliance into AI systems through technical mechanisms - watermarking, bias detection, privacy-enhancing technologies, responsible-AI firewalls, agent kill-switches - rather than relying only on after-the-fact enforcement. It maps risks and controls across five AI lifecycle stages from data collection to agentic AI, and details the institutional machinery (AI Governance Group chaired by the PSA, an expert committee within MeitY, an AI Safety Institute, and a national AI incident database) that operationalises the AI Governance Guidelines.","Non-binding. AI developers and deployers, sectoral regulators designing AI frameworks, ministries deploying AI in public services, and researchers building responsible-AI tools.","Recommended practices: techno-legal governance teams with board-level accountability; impact assessments before training on personal data; privacy-enhancing technologies and fairness assessment; red-teaming and model scoring before deployment; runtime monitoring and AI firewalls at inference; behaviour logging and kill switches for agentic AI; participation in national AI incident reporting once established.","https://psa.gov.in/CMS/web/sites/default/files/publication/AI-WP_TechnoLegal.pdf","","2026-06-11"
"40","Rajasthan Artificial Intelligence and Machine Learning Policy 2026","Government of Rajasthan","Cross-cutting","Policy","Final","2026-01-06","Rajasthan's dedicated AI/ML policy, approved by the state cabinet in December 2025 and unveiled on 6 January 2026 at the Rajasthan DigiFest in Jaipur. Operative for five years, it works as a top-up incentive layer: entities eligible under the state's base policies (RIPS 2024, MSME Policy 2024, Startup Policy 2022, Data Centre Policy 2025) receive additional fiscal and non-fiscal incentives for AI activities undertaken within Rajasthan - covering AI development, model training, R&D units, data centres and compute infrastructure. It also commits to AI cloud services, secure data repositories, testing platforms, and AI education across schools, ITIs, polytechnics and colleges, with an emphasis on ethical and responsible AI.","Manufacturing and services industries, MSMEs and startups, R&D units, data centre and compute providers, academic institutions, and government departments undertaking AI activities in Rajasthan.","Incentive-based rather than regulatory: only AI activities initiated after notification and located within Rajasthan qualify; eligibility follows the criteria of the relevant base (parent) policy; incentives are top-ups subject to amendments and clarifications by the state government.","https://cdn.indiastacklocal.in/assets/uploads/695e7ea8231f0rajasthan-ai_ml-policy-2026-dated-07-01-2026.pdf","","2026-06-11"
"41","MahaAgri-AI Policy 2025-2029","Agriculture Department, Government of Maharashtra","Agriculture","Policy","Final","2025-07-01","Maharashtra's sectoral policy for AI in agriculture, with an initial Rs 500 crore allocation - the first dedicated state agri-AI policy in India. Built around eight pillars including an AI and Agritech Innovation Centre, a federated Agriculture Data Exchange (ADeX) with consent-based access, a shared AI remote-sensing and geospatial engine for crop and drought intelligence, GenAI-powered multilingual farmer advisory (VISTAAR), blockchain-based agri-export traceability, and differentiated support for agritech startups. Governed by a State-Level Steering Committee, with technical and commercial vetting of every funded project.","Maharashtra's agriculture department and district administrations, agritech companies and startups, State Agriculture Universities, farmer producer organisations, exporters and certification agencies.","Solution providers must route proposals through the Innovation Centre and pass technical and commercial feasibility evaluation; ADeX users must follow consent-driven access and state data governance rules; AI deployed in government schemes must meet responsible AI and privacy standards; all interventions face KPI-linked monitoring and third-party impact assessment.","https://krishi.maharashtra.gov.in/Site/Upload/Pdf/MahaAgri%20AI%20Policy%202025%20-%202029%20English.pdf","","2026-06-11"
"47","Responsible AI for All: Adopting the Framework - A Use Case Approach on Facial Recognition Technology","NITI Aayog (research by Vidhi Centre for Legal Policy)","Cross-cutting","White Paper","Final","2022-11-01","Third paper in NITI Aayog's Responsible AI series, stress-testing the seven responsible AI principles against a live use case: facial recognition technology. It surveys how FRT works, its design-based and rights-based risks, and global regulation, then evaluates the Digi Yatra biometric airport boarding system against each principle - producing concrete recommendations on consent, data minimisation, bias testing and human review that apply to any FRT deployment in India.","Government and private entities deploying facial recognition, airport operators using biometric boarding, and law enforcement agencies using automated FRT.","Non-binding recommendations: voluntary and informed consent for FRT; demographic bias and accuracy testing before deployment; strict data minimisation and retention limits; grievance mechanisms for affected individuals; human review of FRT alerts before any consequential action.","https://www.niti.gov.in/sites/default/files/2022-11/Ai_for_All_2022_02112022_0.pdf","","2026-06-11"
